Date,Close,High,Low,Open
2021-06-24,9.999999747378752e-05,0.00013800000306218863,8.900000102585182e-05,9.600000339560211e-05
2021-06-25,9.200000204145908e-05,0.00010399999882793054,9.100000170292333e-05,9.999999747378752e-05
2021-06-26,9.500000305706635e-05,9.999999747378752e-05,8.900000102585182e-05,9.200000204145908e-05
2021-06-27,9.7999996796716e-05,0.00010299999848939478,9.40000027185306e-05,9.500000305706635e-05
2021-06-28,9.300000237999484e-05,0.00010199999815085903,9.300000237999484e-05,9.7999996796716e-05
2021-06-29,9.600000339560211e-05,9.999999747378752e-05,9.300000237999484e-05,9.300000237999484e-05
2021-06-30,9.500000305706635e-05,9.699999645818025e-05,9.40000027185306e-05,9.500000305706635e-05
2021-07-01,8.900000102585182e-05,9.600000339560211e-05,8.70000003487803e-05,9.500000305706635e-05
2021-07-02,8.800000068731606e-05,9.200000204145908e-05,8.70000003487803e-05,8.900000102585182e-05
2021-07-03,9.200000204145908e-05,9.600000339560211e-05,8.800000068731606e-05,8.800000068731606e-05
2021-07-04,8.800000068731606e-05,9.200000204145908e-05,8.70000003487803e-05,9.200000204145908e-05
2021-07-05,8.70000003487803e-05,8.900000102585182e-05,8.499999967170879e-05,8.800000068731606e-05
2021-07-06,8.499999967170879e-05,8.800000068731606e-05,8.399999933317304e-05,8.70000003487803e-05
2021-07-07,8.900000102585182e-05,8.900000102585182e-05,8.399999933317304e-05,8.499999967170879e-05
2021-07-08,8.70000003487803e-05,8.900000102585182e-05,8.399999933317304e-05,8.900000102585182e-05
2021-07-09,8.199999865610152e-05,8.800000068731606e-05,8.099999831756577e-05,8.70000003487803e-05
2021-07-10,7.79999973019585e-05,8.299999899463728e-05,7.599999662488699e-05,8.199999865610152e-05
2021-07-11,7.79999973019585e-05,7.999999797903001e-05,7.79999973019585e-05,7.79999973019585e-05
2021-07-12,7.200000254670158e-05,7.899999764049426e-05,7.200000254670158e-05,7.79999973019585e-05
2021-07-13,6.600000051548705e-05,7.599999662488699e-05,6.600000051548705e-05,7.200000254670158e-05
2021-07-14,6.299999949987978e-05,6.800000119255856e-05,6.199999916134402e-05,6.600000051548705e-05
2021-07-15,6.199999916134402e-05,6.500000017695129e-05,6.0999998822808266e-05,6.299999949987978e-05
2021-07-16,6.199999916134402e-05,6.399999983841553e-05,6.0999998822808266e-05,6.199999916134402e-05
2021-07-17,6.199999916134402e-05,6.199999916134402e-05,6.0999998822808266e-05,6.199999916134402e-05
2021-07-18,6.0999998822808266e-05,6.299999949987978e-05,6.0999998822808266e-05,6.199999916134402e-05
2021-07-19,6.0999998822808266e-05,6.199999916134402e-05,5.900000178371556e-05,6.0999998822808266e-05
2021-07-20,5.400000009103678e-05,6.0999998822808266e-05,5.2999999752501026e-05,6.0999998822808266e-05
2021-07-21,5.8000001445179805e-05,6.299999949987978e-05,5.400000009103678e-05,5.400000009103678e-05
2021-07-22,5.8000001445179805e-05,6.0999998822808266e-05,5.8000001445179805e-05,5.8000001445179805e-05
2021-07-23,6.0999998822808266e-05,6.199999916134402e-05,5.8000001445179805e-05,5.8000001445179805e-05
2021-07-24,6.299999949987978e-05,6.399999983841553e-05,5.8000001445179805e-05,6.0999998822808266e-05
2021-07-25,6.299999949987978e-05,6.399999983841553e-05,5.999999848427251e-05,6.299999949987978e-05
2021-07-26,6.70000008540228e-05,7.500000356230885e-05,6.299999949987978e-05,6.299999949987978e-05
2021-07-27,6.900000153109431e-05,7.200000254670158e-05,6.500000017695129e-05,6.70000008540228e-05
2021-07-28,7.200000254670158e-05,7.300000288523734e-05,6.900000153109431e-05,6.900000153109431e-05
2021-07-29,7.200000254670158e-05,7.200000254670158e-05,6.900000153109431e-05,7.200000254670158e-05
2021-07-30,7.200000254670158e-05,7.400000322377309e-05,6.900000153109431e-05,7.200000254670158e-05
